date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:28	19832/19832	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-4d78%22	https://floriandambrine.com/plugins/shuffle/shuffle.min.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/shuffle/shuffle.min.js	(from https://floriandambrine.com/)
16:15:29	4116/4116	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-1014%22	https://floriandambrine.com/plugins/google-map/map.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/google-map/map.js	(from https://floriandambrine.com/)
16:15:29	9630/9630	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-259e%22	https://floriandambrine.com/portfolio/2016-03-ansible-continuous-integration/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2016-03-ansible-continuous-integration/index.html	(from https://floriandambrine.com/)
16:15:29	4320/4320	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-10e0%22	https://floriandambrine.com/js/script.min.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/js/script.min.js	(from https://floriandambrine.com/)
16:15:29	9231/9231	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-240f%22	https://floriandambrine.com/portfolio/2015-07-ansible-meetup/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2015-07-ansible-meetup/index.html	(from https://floriandambrine.com/)
16:15:29	9614/9614	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-258e%22	https://floriandambrine.com/portfolio/2015-07-cassandra-multiregion/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2015-07-cassandra-multiregion/index.html	(from https://floriandambrine.com/)
16:15:30	9305/9305	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-2459%22	https://floriandambrine.com/portfolio/2015-12-ansible-security-with-vault/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2015-12-ansible-security-with-vault/index.html	(from https://floriandambrine.com/)
16:15:30	9276/9276	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-243c%22	https://floriandambrine.com/portfolio/2015-03-fluentd-realtime/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2015-03-fluentd-realtime/index.html	(from https://floriandambrine.com/)
16:15:30	8854/8854	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-2296%22	https://floriandambrine.com/portfolio/2015-01-blog-v2/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2015-01-blog-v2/index.html	(from https://floriandambrine.com/)
16:15:30	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22602e847a-1339c%22	https://floriandambrine.com/plugins/themify-icons/fonts/themify.eot?-fvbane	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/themify-icons/fonts/themify9f24.eot	(from https://floriandambrine.com/plugins/themify-icons/themify-icons.css)
16:15:30	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22602e847a-1339c%22	https://floriandambrine.com/plugins/themify-icons/fonts/themify.eot?	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/themify-icons/fonts/themifyd41d.eot	(from https://floriandambrine.com/plugins/themify-icons/themify-icons.css)
16:15:30	8734/8734	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-221e%22	https://floriandambrine.com/portfolio/2014-10-icinga2/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2014-10-icinga2/index.html	(from https://floriandambrine.com/)
16:15:30	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22602e847a-db2c%22	https://floriandambrine.com/plugins/themify-icons/fonts/themify.woff?-fvbane	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/themify-icons/fonts/themify9f24.woff	(from https://floriandambrine.com/plugins/themify-icons/themify-icons.css)
16:15:31	7677/7677	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-1dfd%22	https://floriandambrine.com/blog/2020-09-14-ops-talks/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/blog/2020-09-14-ops-talks/index.html	(from https://floriandambrine.com/)
16:15:31	78584/78584	---M-Z	200	added ('OK')	font/ttf	etag:W/%22602e847a-132f8%22	https://floriandambrine.com/plugins/themify-icons/fonts/themify.ttf?-fvbane	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/themify-icons/fonts/themify9f24.ttf	(from https://floriandambrine.com/plugins/themify-icons/themify-icons.css)
16:15:31	7616/7616	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-1dc0%22	https://floriandambrine.com/blog/2019-12-09-kafka-lag-reporting-at-scale.en-copy/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/blog/2019-12-09-kafka-lag-reporting-at-scale.en-copy/index.html	(from https://floriandambrine.com/)
16:15:31	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22602e847a-3931d%22	https://floriandambrine.com/plugins/themify-icons/fonts/themify.svg?-fvbane	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/themify-icons/fonts/themify9f24.svg	(from https://floriandambrine.com/plugins/themify-icons/themify-icons.css)
16:15:31	39308/39308	---M--	200	added ('OK')	font/woff	etag:%22602e847a-998c%22	https://floriandambrine.com/fonts/BwNistaInt-xBd.woff	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/fonts/BwNistaInt-xBd.woff	(from https://floriandambrine.com/css/style.min.css)
